chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
GOLD,2021-03-12,19.5000,put,buy,2021-03-09T14:47:32.359491Z,debit,1.00000,limit,,short_put,0.11000000,1.00000
CRSR,2021-03-19,40.0000,call,sell,2021-03-08T19:35:52.879244Z,credit,1.00000,limit,short_call,,0.40000000,1.00000
DASH,2021-03-26,152.5000,call,sell,2021-03-08T19:33:45.219390Z,debit,1.00000,limit,,short_call_spread,0.92000000,1.00000
DASH,2021-03-26,150.0000,call,buy,2021-03-08T19:33:45.219390Z,debit,1.00000,limit,,short_call_spread,0.92000000,1.00000
DASH,2021-03-26,152.5000,call,buy,2021-03-08T19:20:56.309422Z,credit,1.00000,limit,short_call_spread,,0.80000000,1.00000
DASH,2021-03-26,150.0000,call,sell,2021-03-08T19:20:56.309422Z,credit,1.00000,limit,short_call_spread,,0.80000000,1.00000
CRSR,2021-04-16,40.0000,call,buy,2021-03-08T18:48:10.518577Z,debit,1.00000,limit,,short_call,1.23000000,1.00000
PLTR,2021-03-19,28.5000,call,sell,2021-03-08T16:45:05.854914Z,credit,1.00000,limit,short_call,,0.38000000,1.00000
GOLD,2021-03-12,19.5000,put,sell,2021-03-08T15:01:08.914157Z,credit,1.00000,limit,short_put,,0.34000000,1.00000
RKT,2021-03-12,20.8900,put,buy,2021-03-08T14:45:51.990579Z,debit,1.00000,limit,,short_put,0.20000000,1.00000
PLTR,2021-03-12,28.0000,call,buy,2021-03-08T14:30:59.702079Z,debit,1.00000,limit,,short_call,0.24000000,1.00000
NIO,2021-03-12,35.0000,put,sell,2021-03-05T15:17:45.513991Z,credit,1.00000,limit,short_put,,1.82000000,1.00000
NIO,2021-03-05,37.0000,put,buy,2021-03-05T15:16:41.669775Z,debit,1.00000,limit,,short_put,1.53000000,1.00000
CRSR,2021-04-16,40.0000,call,sell,2021-03-05T15:09:43.412062Z,credit,1.00000,limit,short_call,,1.23000000,1.00000
CRSR,2021-03-19,40.0000,call,buy,2021-03-05T15:04:43.880311Z,debit,1.00000,limit,,short_call,0.40000000,1.00000
CLOV,2021-03-19,10.0000,call,sell,2021-03-04T18:47:05.624911Z,credit,1.00000,limit,short_call,,0.20000000,1.00000
CLOV,2021-03-19,12.5000,call,buy,2021-03-04T18:46:41.973307Z,debit,1.00000,limit,,short_call,0.10000000,1.00000
NIO,2021-03-05,37.0000,put,sell,2021-03-04T16:06:50.981486Z,credit,1.00000,limit,short_put,,0.26000000,1.00000
VZ,2021-03-12,57.0000,call,sell,2021-03-03T19:34:51.727501Z,credit,1.00000,limit,short_call,,0.27000000,1.00000
VZ,2021-03-12,57.0000,call,buy,2021-03-03T19:26:18.658669Z,debit,1.00000,limit,,short_call,0.29000000,1.00000
PLTR,2021-03-12,28.0000,call,sell,2021-03-03T19:17:57.496128Z,credit,1.00000,limit,short_call,,0.24000000,1.00000
PLTR,2021-03-12,28.5000,call,buy,2021-03-03T19:17:13.305961Z,debit,1.00000,limit,,short_call,0.22000000,1.00000
RKT,2021-03-12,22.0000,put,sell,2021-03-03T14:54:46.310255Z,credit,1.00000,limit,short_put,,0.40000000,1.00000
NIO,2021-03-05,41.0000,put,buy,2021-03-03T14:31:34.820766Z,debit,1.00000,limit,,short_put,0.40000000,1.00000
PLTR,2021-03-12,24.0000,put,sell,2021-03-02T19:41:40.197987Z,credit,1.00000,limit,short_put,,0.91000000,1.00000
PLTR,2021-03-05,25.0000,put,buy,2021-03-02T19:35:47.860015Z,debit,1.00000,limit,,short_put,0.93000000,1.00000
NIO,2021-03-05,41.0000,put,sell,2021-03-02T18:40:08.217421Z,credit,1.00000,limit,short_put,,0.51000000,1.00000
KR,2021-03-12,32.5000,put,buy,2021-03-02T15:34:23.336721Z,debit,1.00000,limit,,short_put,0.85000000,1.00000
PLTR,2021-03-12,28.5000,call,sell,2021-03-02T15:22:30.264164Z,credit,1.00000,limit,short_call,,0.47000000,1.00000
PLTR,2021-03-05,28.0000,call,buy,2021-03-02T15:20:06.084110Z,debit,1.00000,limit,,short_call,0.20000000,1.00000
CLOV,2021-03-19,12.5000,call,sell,2021-03-02T15:03:05.619673Z,credit,1.00000,limit,short_call,,0.20000000,1.00000
CLOV,2021-03-19,12.5000,call,buy,2021-03-01T20:46:28.827812Z,debit,1.00000,limit,,short_call,0.60000000,1.00000
KR,2021-03-12,32.5000,put,sell,2021-03-01T15:42:35.898719Z,credit,1.00000,limit,short_put,,0.85000000,1.00000
VZ,2021-03-12,57.0000,call,sell,2021-03-01T15:01:34.251664Z,credit,1.00000,limit,short_call,,0.31000000,1.00000
VZ,2021-03-05,57.0000,call,buy,2021-03-01T14:49:59.113780Z,debit,1.00000,limit,,short_call,0.10000000,1.00000
RKT,2021-03-05,21.5000,put,buy,2021-03-01T14:46:12.063215Z,debit,1.00000,limit,,short_put,0.10000000,1.00000
CCIV,2021-03-05,26.5000,put,buy,2021-03-01T14:30:20.912200Z,debit,1.00000,limit,,short_put,0.65000000,1.00000
CCIV,2021-03-05,26.5000,put,sell,2021-02-26T20:51:54.088667Z,credit,1.00000,limit,short_put,,0.85000000,1.00000
RKT,2021-03-05,21.5000,put,sell,2021-02-26T20:47:37.612749Z,credit,1.00000,limit,short_put,,0.83000000,1.00000
RKT,2021-02-26,22.0000,put,buy,2021-02-26T20:45:23.912174Z,debit,1.00000,limit,,short_put,0.14000000,1.00000
PLTR,2021-03-05,28.0000,call,sell,2021-02-26T18:11:46.481926Z,credit,1.00000,limit,short_call,,0.40000000,1.00000
PLTR,2021-03-05,28.0000,call,buy,2021-02-26T15:14:42.777566Z,debit,1.00000,limit,,short_call,0.35000000,1.00000
RKT,2021-02-26,22.0000,put,sell,2021-02-26T14:58:50.177687Z,credit,1.00000,limit,short_put,,0.40000000,1.00000
VZ,2021-03-05,57.0000,call,sell,2021-02-26T14:44:53.053682Z,credit,1.00000,limit,short_call,,0.32000000,1.00000
VZ,2021-02-26,57.0000,call,buy,2021-02-26T14:44:25.680986Z,debit,1.00000,limit,,short_call,0.03000000,1.00000
